,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,BLK_home,PF_home,STL_home,TO_home,BLK_away,PF_away,STL_away,TO_away,HOME_TEAM,VISITOR_TEAM
4247,2016,99.0,0.506,0.583,0.414,26.0,38.0,105.0,0.46299999999999997,0.789,0.43799999999999994,18.0,38.0,0,2.0,19.0,4.0,11.0,5.0,17.0,3.0,9.0,Bucks,Raptors
4248,2015,89.0,0.442,0.731,0.154,18.0,37.0,107.0,0.47,0.882,0.467,27.0,48.0,0,3.0,16.0,8.0,7.0,8.0,23.0,4.0,9.0,Bucks,Raptors
4249,2015,90.0,0.42,0.889,0.429,25.0,38.0,111.0,0.519,0.737,0.44799999999999995,31.0,44.0,0,5.0,17.0,3.0,13.0,10.0,17.0,7.0,8.0,Bucks,Raptors
4250,2014,89.0,0.447,0.64,0.278,22.0,43.0,92.0,0.4,0.583,0.25,17.0,54.0,0,5.0,22.0,12.0,16.0,5.0,20.0,9.0,15.0,Bucks,Raptors
4251,2013,79.0,0.41,0.9229999999999999,0.17600000000000002,10.0,39.0,94.0,0.44,0.875,0.28600000000000003,21.0,44.0,0,5.0,16.0,4.0,11.0,3.0,17.0,7.0,6.0,Jazz,Raptors
4252,2012,131.0,0.495,0.8,0.565,31.0,51.0,99.0,0.402,0.8390000000000001,0.292,13.0,41.0,1,8.0,26.0,10.0,11.0,7.0,28.0,5.0,15.0,Jazz,Raptors
4253,2011,106.0,0.433,0.667,0.222,16.0,48.0,111.0,0.44799999999999995,0.789,0.35700000000000004,23.0,42.0,0,5.0,21.0,9.0,18.0,10.0,30.0,6.0,16.0,Jazz,Raptors
4254,2010,125.0,0.565,0.88,0.43799999999999994,30.0,35.0,108.0,0.456,0.7859999999999999,0.231,16.0,36.0,1,4.0,28.0,9.0,14.0,4.0,25.0,9.0,16.0,Jazz,Raptors
4255,2009,104.0,0.488,0.655,0.273,25.0,49.0,91.0,0.374,0.773,0.24,14.0,50.0,1,3.0,18.0,7.0,10.0,4.0,21.0,4.0,11.0,Jazz,Raptors
4256,2008,114.0,0.516,0.688,0.385,31.0,52.0,87.0,0.439,0.846,0.235,23.0,38.0,1,8.0,17.0,12.0,17.0,10.0,16.0,8.0,23.0,Jazz,Raptors
4257,2007,96.0,0.551,0.636,0.667,23.0,36.0,79.0,0.4,0.769,0.385,19.0,38.0,1,8.0,18.0,8.0,16.0,3.0,23.0,11.0,17.0,Jazz,Raptors
4258,2006,101.0,0.469,0.645,0.385,17.0,51.0,96.0,0.419,0.73,0.368,15.0,36.0,1,4.0,25.0,7.0,17.0,7.0,22.0,8.0,13.0,Jazz,Raptors
4259,2005,111.0,0.55,0.846,0.111,27.0,44.0,98.0,0.456,0.816,0.313,13.0,32.0,1,5.0,30.0,9.0,12.0,4.0,21.0,5.0,15.0,Jazz,Raptors
4260,2004,95.0,0.413,0.7709999999999999,0.182,18.0,45.0,104.0,0.483,0.9329999999999999,0.33299999999999996,20.0,41.0,0,5.0,21.0,4.0,12.0,8.0,32.0,6.0,11.0,Jazz,Raptors
4261,2003,97.0,0.439,0.586,0.5329999999999999,21.0,48.0,94.0,0.449,0.682,0.409,23.0,33.0,1,7.0,24.0,7.0,20.0,6.0,30.0,8.0,17.0,Jazz,Raptors
4262,2018,111.0,0.442,0.659,0.258,29.0,40.0,124.0,0.57,0.929,0.39399999999999996,21.0,43.0,0,4.0,19.0,10.0,12.0,3.0,28.0,9.0,14.0,Jazz,Raptors
4263,2018,105.0,0.434,0.7140000000000001,0.419,25.0,53.0,90.0,0.354,0.708,0.185,11.0,52.0,1,6.0,26.0,9.0,22.0,5.0,29.0,9.0,20.0,Jazz,Raptors
4264,2017,100.0,0.43799999999999994,0.917,0.348,11.0,33.0,109.0,0.535,0.7859999999999999,0.3670000000000001,20.0,39.0,0,5.0,25.0,9.0,13.0,4.0,27.0,9.0,16.0,Jazz,Raptors
4265,2016,98.0,0.44299999999999995,0.857,0.37,21.0,40.0,104.0,0.531,0.667,0.381,12.0,36.0,0,2.0,16.0,7.0,16.0,4.0,19.0,12.0,10.0,Jazz,Raptors
4266,2015,93.0,0.486,0.727,0.318,15.0,41.0,89.0,0.425,0.889,0.25,14.0,37.0,1,5.0,20.0,9.0,17.0,4.0,17.0,10.0,14.0,Jazz,Raptors
4267,2014,104.0,0.483,0.8,0.28600000000000003,21.0,35.0,123.0,0.57,0.875,0.5710000000000001,15.0,37.0,0,5.0,15.0,7.0,8.0,3.0,16.0,7.0,9.0,Jazz,Raptors
4268,2019,110.0,0.506,0.762,0.43799999999999994,31.0,40.0,104.0,0.4320000000000001,0.85,0.33299999999999996,21.0,42.0,1,5.0,18.0,7.0,18.0,4.0,22.0,13.0,18.0,76ers,Raptors
